measure,metric,location,year,age,sex,val,lower,upper
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Female,6098583.190099619,5980786.753238598,6228819.702705091
DALYs (Disability-Adjusted Life Years),Number,Global,1990,80 to 84,Male,4005458.8556625247,3950130.250489864,4077283.8127472545
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Both,4638891.966565498,4542604.673889006,4721981.020325174
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Female,2948698.845720415,2901006.734991093,3004425.242162865
DALYs (Disability-Adjusted Life Years),Number,Global,1990,85 to 89,Male,1620651.8506177466,1593255.9962851962,1652676.772052474
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Both,1393703.435386569,1361887.8778610998,1418336.7381786837
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Female,946813.9755458527,935000.1466991003,962018.4225813482
DALYs (Disability-Adjusted Life Years),Number,Global,1990,90 to 94,Male,425242.4620770847,416727.6279839232,431781.3804042495
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Both,42324331.86609904,41761808.478305176,42960664.68984497
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Female,17921941.117548127,17632322.30872695,18242030.75218096
DALYs (Disability-Adjusted Life Years),Number,Global,1991,25 to 29,Male,24268865.02055952,23825178.36953389,24680539.108816724
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Both,43099852.29771782,42310716.03614828,43707548.19513844
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Female,18733309.38409093,18525135.68246047,18952948.107191242
DALYs (Disability-Adjusted Life Years),Number,Global,1991,30 to 34,Male,24386333.31091604,24019435.71944703,24715576.476435933
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Both,46436189.34974493,45732507.89019357,47320678.32133235
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Female,20451706.31109683,20095793.04140439,20837872.554051623
DALYs (Disability-Adjusted Life Years),Number,Global,1991,35 to 39,Male,25946617.31179304,25648790.83739751,26438949.757583395
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Both,44079143.64223518,43456378.40544012,44695248.023854986
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Female,19538616.062521294,19163897.937259406,19926696.64439643
DALYs (Disability-Adjusted Life Years),Number,Global,1991,40 to 44,Male,24478085.698860772,24117374.88995175,24994912.751564607
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Both,38544213.83731796,37868567.839522555,39535444.82910748
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Female,17327708.46445187,16909562.811353203,17800284.80640633
DALYs (Disability-Adjusted Life Years),Number,Global,1991,45 to 49,Male,21249338.001897324,20756166.440152526,21679324.619888857
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Both,39118076.7435534,38526797.29049675,39774840.43838054
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Female,17866607.88048009,17427276.2278462,18165926.111817114
DALYs (Disability-Adjusted Life Years),Number,Global,1991,50 to 54,Male,21240165.372978866,20824666.05469942,21679516.767787423
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Both,37458459.2538462,36656105.89318344,38044129.78205282
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Female,17509200.286758807,17240779.996152885,17842818.088880733
DALYs (Disability-Adjusted Life Years),Number,Global,1991,55 to 59,Male,20039033.69698197,19584677.35103322,20316672.130364724
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Both,35583681.50929479,35000365.323323146,36124756.15942453
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Female,17018168.312327337,16737129.115146888,17220236.507212177
DALYs (Disability-Adjusted Life Years),Number,Global,1991,60 to 64,Male,18530076.82919104,18279827.301994268,18860364.075057045
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Both,30087680.32909809,29512879.832729246,30671607.067608938
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Female,15106568.984256184,14814127.807807242,15352500.352993697
DALYs (Disability-Adjusted Life Years),Number,Global,1991,65 to 69,Male,14726997.890758598,14516480.368360106,15007522.391060479
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Both,22141790.971873753,21653654.564138383,22399381.842279185
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Female,11680489.273647007,11487118.911219869,11894175.047492731
DALYs (Disability-Adjusted Life Years),Number,Global,1991,70 to 74,Male,10395573.720731549,10258283.714357525,10582552.53238853
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Both,16704356.254636299,16501637.571946839,16936226.7271021
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Female,9346881.016578753,9117626.24866261,9504756.874710456
DALYs (Disability-Adjusted Life Years),Number,Global,1991,75 to 79,Male,7206594.251160661,7091033.242136994,7312042.380686136
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Both,10495635.004782535,10244476.273428988,10692918.76199976
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Female,6269387.27058476,6147280.701331267,6389100.030832106
DALYs (Disability-Adjusted Life Years),Number,Global,1991,80 to 84,Male,4137193.0051123835,4023768.8232828146,4220545.12976685
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Both,4832440.356543848,4748530.4165342245,4918893.421983474
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Female,3071112.3029616787,3012636.3462569565,3130443.284924833
DALYs (Disability-Adjusted Life Years),Number,Global,1991,85 to 89,Male,1701441.6210044788,1677115.3350943811,1726802.6694644163
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Both,1485397.0982148729,1463579.0752794223,1512739.8832516766
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Female,1006610.9438721789,984733.6728791588,1025868.2448541634
DALYs (Disability-Adjusted Life Years),Number,Global,1991,90 to 94,Male,451450.8268114176,444394.68474727013,456258.75706930534
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Both,43170281.022672415,42378195.75859752,43983046.61781767
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Female,18376888.043951977,18134049.791785523,18624544.399081565
DALYs (Disability-Adjusted Life Years),Number,Global,1992,25 to 29,Male,24780480.21972291,24361995.699172273,25298555.298553113
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Both,43989630.5978505,43022005.495579824,44745130.87192736
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Female,19008479.655323356,18622950.927721962,19374935.40489395
DALYs (Disability-Adjusted Life Years),Number,Global,1992,30 to 34,Male,24905503.73745086,24384378.416545913,25349441.591005698
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Both,47114233.982094914,46232280.48987171,47863367.707015544
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Female,20795726.80215828,20422176.1391759,21045980.51965871
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Male,26472766.131580956,26119940.75122394,26829419.73027003
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Both,45097446.94722676,44261998.85168514,45689296.75443393
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Female,20196671.48050656,19936130.861475624,20556740.710949086
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Male,25160603.74867187,24773516.201246656,25590258.90288306
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Both,39792167.23544662,39140244.423134126,40402131.2942179
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Female,17901870.696716256,17582796.9256499,18342413.303502414
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Male,21924306.63628289,21603942.508358184,22358019.89653623
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Both,39072117.91798221,38126944.50368865,39831139.83653574
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Female,17900211.425420955,17637618.274510786,18206608.42903831
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Male,21292167.838666756,20760515.429738376,21534358.864386454
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Both,37986136.77458593,37354463.803051725,38900103.95480826
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Female,17683722.44312994,17288798.4517023,18055588.999303702
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Male,20250944.6010982,19800402.785042256,20515817.697612185
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Both,36053008.60100219,35237322.3064735,36972243.10161702
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Female,17239972.38536634,16940623.218049183,17539193.75762158
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Male,18832415.85906736,18478750.98927405,19161275.611372642
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Both,30796261.04128587,30252232.988911316,31202570.125656284
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Female,15494321.862974936,15141533.017063074,15805484.411775377
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Male,15204231.357200833,14822616.456758931,15591817.019140065
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Both,23093614.65334028,22797278.896829084,23499802.220875856
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Female,12166157.054285645,11949798.990003461,12383520.590010136
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Male,10743292.810140261,10487122.31241402,10936472.672318552
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Both,16687486.281933317,16350387.15836604,16977317.038931478
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Female,9270035.728575641,9121459.045711307,9426851.929059694
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Male,7254596.975689016,7124046.798009219,7386925.894320218
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Both,10779706.283892136,10514290.541406987,11051323.123749308
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Female,6418019.640852679,6302297.592842059,6524691.480589709
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Male,4248902.547244798,4195449.904058717,4316051.93862259
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Both,5073444.882924701,4973347.414511544,5190604.403702514
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Female,3219768.991448137,3157443.7527206438,3265513.283336103
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Male,1778445.0841800547,1749266.0744664376,1804369.1084047758
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Both,1571306.0369246134,1531954.25346675,1605611.2730242116
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Female,1058965.3075466596,1033286.2994534526,1077090.5317663273
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Male,477190.30143002677,468322.4078620788,484943.93772840285
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Both,43398536.750078775,42815101.92765694,44667425.07090586
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Female,18458532.197303746,18145488.68869715,18748975.327677775
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Male,25009633.63347893,24566316.269874167,25449642.664528932
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Both,45029992.34322206,44140194.70942016,45816874.54623807
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Female,19512025.69130708,19172941.353334643,19816044.813014813
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Male,25498603.55607321,25087527.578411497,25897911.627169687
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Both,47480940.92900008,46389782.29986347,48333865.22007246
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Female,20924972.642663773,20561562.744546182,21441586.88969809
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Male,26697849.261246856,26142749.406338137,27192795.46519012
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Both,46449972.883771345,45609997.22547621,47363344.32399337
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Female,20811706.657478023,20400398.96536272,21196315.89450502
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Male,25905817.994673375,25368119.096417725,26382656.4849213
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Both,41176086.61015634,40436295.269947894,41870825.167433985
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Female,18423078.320253644,17974557.55874916,18790096.796388634
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Male,22760681.428536326,22212080.74500026,23247366.772022925
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Both,39237238.56684176,38637682.27418294,39786539.85552807
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Female,17927036.26084314,17558587.94750456,18179446.872938026
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Male,21344434.410905782,20925779.19452397,21689348.476511218
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Both,38721052.85006294,37768799.5597123,39362346.113739096
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Female,17951235.509377096,17638158.124317653,18348782.30696238
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Male,20505180.34747936,20181873.334879145,20801138.524609234
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Both,36300164.300908804,35566088.67034207,36913518.362275146
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Female,17369996.248275917,17094539.598887205,17643119.803808346
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Male,18949328.08262629,18542004.686375048,19309837.404944003
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Both,31410399.69446613,30805268.27928973,31981082.988079272
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Female,15787145.188028645,15497009.870230392,16033698.90446245
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Male,15758745.819316436,15515619.962301994,16002768.40378658
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Both,23917169.461828765,23586958.293360863,24282960.810020916
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Female,12679298.017008055,12386410.823559817,13070083.532879744
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Male,11255061.860350104,11071949.660250004,11506676.628074056
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Both,16640115.615136594,16391291.029598579,16917410.806847177
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Female,9236121.700532533,9092053.47416375,9381437.193885319
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Male,7249836.279802254,7130292.931341724,7367888.382385103
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Both,11051522.137661345,10905569.116351828,11182075.234005045
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Female,6609186.979928985,6477960.789001384,6716167.001055222
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Male,4346060.573713812,4270790.728959427,4462029.117679518
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Both,5245912.4040492745,5174517.965055797,5323750.133707361
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Female,3323436.6651815665,3270167.544286042,3386434.1217784053
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Male,1845807.42770778,1806471.4885796881,1875378.2196170888
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Both,1665165.3565378773,1640399.5763781518,1690738.9294343083
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Female,1127718.8808775975,1106930.3313443305,1154059.5213593468
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Male,509307.2339538453,497780.32043651,517912.63622870867
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Both,43528449.92889538,42900212.74758582,44311792.63673645
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Female,18553224.406043455,18249056.51423368,18833665.702676535
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Male,25118243.551707227,24826916.63574802,25784114.342655465
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Both,46554889.40591413,45714259.90709689,47289207.88605119
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Female,20118009.134470984,19890518.75898837,20440958.806821488
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Male,26186329.459088046,25777457.627934802,26579691.719751365
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Both,47727996.97226779,46905029.60511236,48482734.639255084
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Female,20977687.810158066,20597862.5171687,21296702.754237503
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Male,26791681.96055034,26442424.838144198,27268459.049407095
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Both,47647127.26083656,46822864.676120535,48196886.95387789
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Female,21297024.675608404,20880296.38928771,21648437.18624029
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Male,26524805.0186553,26096825.079466954,26953823.43064159
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Both,42982328.511995986,42330675.22838159,43625524.03507845
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Female,19333285.146517616,19009029.857060954,19572811.44726385
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Male,23764611.836472724,23315776.590405196,24276313.411551222
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Both,39327775.831657134,38621476.80252658,39977692.30632068
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Female,17971819.012417123,17660593.37472656,18287829.19068681
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Male,21366989.762388658,21098990.41600706,21710014.82814266
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Both,39014299.51528757,38191935.95482909,39645416.979461506
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Female,18167332.184980944,17919192.6735225,18395245.865182973
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Male,20776430.40123601,20292613.84512116,21145592.984471045
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Both,36575799.26320924,35769233.56091972,37246360.63714056
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Female,17433400.119228613,16954662.253057666,17803849.248989888
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Male,19165169.01777933,18604230.741715666,19496702.370677024
DALYs (Disability-Adjusted Life Years),Number,Global,1994,65 to 69,Both,32419947.105573177,31893460.129492123,32943070.23745039
DALYs (Disability-Adjusted Life Years),Number,Global,1994,65 to 69,Female,16136616.164476205,15728483.152062798,16462571.384585645
DALYs (Disability-Adjusted Life Years),Number,Global,1994,65 to 69,Male,16167906.48647589,15902062.415175527,16427730.447463272
DALYs (Disability-Adjusted Life Years),Number,Global,1994,70 to 74,Both,24926802.36228263,24397420.482180912,25476990.12220166
DALYs (Disability-Adjusted Life Years),Number,Global,1994,70 to 74,Female,13096773.424369963,12823242.056980997,13264301.234785791
DALYs (Disability-Adjusted Life Years),Number,Global,1994,70 to 74,Male,11660177.392325949,11440145.367168497,11899138.569450948
DALYs (Disability-Adjusted Life Years),Number,Global,1994,75 to 79,Both,16735419.556047967,16461157.931882855,17030481.677354
DALYs (Disability-Adjusted Life Years),Number,Global,1994,75 to 79,Female,9264342.07947423,9099090.736704746,9425155.895783542
DALYs (Disability-Adjusted Life Years),Number,Global,1994,75 to 79,Male,7361600.356075616,7167904.355478728,7536196.033896383
DALYs (Disability-Adjusted Life Years),Number,Global,1994,80 to 84,Both,11256071.730067344,11075011.602273807,11440046.523923112
DALYs (Disability-Adjusted Life Years),Number,Global,1994,80 to 84,Female,6735416.848827159,6614277.398062089,6874057.942033179
DALYs (Disability-Adjusted Life Years),Number,Global,1994,80 to 84,Male,4459017.80313588,4379240.719209557,4546569.163853758
DALYs (Disability-Adjusted Life Years),Number,Global,1994,85 to 89,Both,5425097.219980173,5323288.367847962,5537011.088273185
DALYs (Disability-Adjusted Life Years),Number,Global,1994,85 to 89,Female,3457792.0026314785,3389829.7458914337,3530509.5391712906
DALYs (Disability-Adjusted Life Years),Number,Global,1994,85 to 89,Male,1916563.5808640725,1883056.2498324527,1950627.8972218374
DALYs (Disability-Adjusted Life Years),Number,Global,1994,90 to 94,Both,1760883.6615682119,1725403.7809830878,1792824.5373922726
DALYs (Disability-Adjusted Life Years),Number,Global,1994,90 to 94,Female,1189221.7163740136,1158090.6796955753,1208485.188108757
DALYs (Disability-Adjusted Life Years),Number,Global,1994,90 to 94,Male,544781.3394151347,538136.1971951905,551125.697276405
DALYs (Disability-Adjusted Life Years),Number,Global,1995,25 to 29,Both,43771833.12124594,42878246.20663272,44559347.356428996
DALYs (Disability-Adjusted Life Years),Number,Global,1995,25 to 29,Female,18538316.80550611,18112304.150608554,18895519.440260377
DALYs (Disability-Adjusted Life Years),Number,Global,1995,25 to 29,Male,25259544.065986577,24672745.963014662,25625697.085731067
DALYs (Disability-Adjusted Life Years),Number,Global,1995,30 to 34,Both,47503597.810890235,46881789.84781342,48195925.25621498
DALYs (Disability-Adjusted Life Years),Number,Global,1995,30 to 34,Female,20695840.821614802,20298781.98142933,21133590.753358547
DALYs (Disability-Adjusted Life Years),Number,Global,1995,30 to 34,Male,26891484.96778965,26445018.488984086,27498812.40641498
DALYs (Disability-Adjusted Life Years),Number,Global,1995,35 to 39,Both,47572518.11737227,46882634.985533394,48533158.0052312
DALYs (Disability-Adjusted Life Years),Number,Global,1995,35 to 39,Female,21023612.43056629,20578739.837159358,21447378.84711385
DALYs (Disability-Adjusted Life Years),Number,Global,1995,35 to 39,Male,26815334.879842263,26034019.0118196,27422972.285854183
DALYs (Disability-Adjusted Life Years),Number,Global,1995,40 to 44,Both,49348239.99423992,48648515.69136392,50538716.68779965
DALYs (Disability-Adjusted Life Years),Number,Global,1995,40 to 44,Female,22003699.78847552,21534253.294773143,22437050.081232857
DALYs (Disability-Adjusted Life Years),Number,Global,1995,40 to 44,Male,27328768.787461687,26796654.920841165,27827238.72408952
DALYs (Disability-Adjusted Life Years),Number,Global,1995,45 to 49,Both,44319893.97457169,43417458.89822322,45158346.4157799
DALYs (Disability-Adjusted Life Years),Number,Global,1995,45 to 49,Female,19990913.897204373,19618861.474575136,20460214.19276733
DALYs (Disability-Adjusted Life Years),Number,Global,1995,45 to 49,Male,24488413.848220117,23871849.86539942,24894970.375267893
DALYs (Disability-Adjusted Life Years),Number,Global,1995,50 to 54,Both,39216691.767934434,38682179.05370008,39693225.228686705
DALYs (Disability-Adjusted Life Years),Number,Global,1995,50 to 54,Female,17987517.376955833,17607461.703021266,18303131.21235129
