measure,metric,location,year,age,sex,category,val,lower,upper
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Female,Cardiovascular diseases,13354096.025341192,12983833.154060688,13694269.891874071
DALYs (Disability-Adjusted Life Years),Number,Global,1992,35 to 39,Male,Cardiovascular diseases,16208380.326817779,15679117.119900323,16505902.8318714
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Both,Cardiovascular diseases,28187370.09870713,27651278.863117836,28655578.35812608
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Female,Cardiovascular diseases,12795409.965472577,12548175.107011408,13188828.020776361
DALYs (Disability-Adjusted Life Years),Number,Global,1992,40 to 44,Male,Cardiovascular diseases,15327114.928673256,14928504.749577932,15641893.465566803
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Both,Cardiovascular diseases,24574596.348798715,24041918.300143234,25038607.664414056
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Female,Cardiovascular diseases,11218060.544586891,10964260.07051346,11500437.19050268
DALYs (Disability-Adjusted Life Years),Number,Global,1992,45 to 49,Male,Cardiovascular diseases,13265702.723045623,12963261.891873393,13507981.704479828
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Both,Cardiovascular diseases,24100749.402568102,23353400.635198865,24599699.457866613
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Female,Cardiovascular diseases,11202528.018965138,10937504.224310618,11399645.590751419
DALYs (Disability-Adjusted Life Years),Number,Global,1992,50 to 54,Male,Cardiovascular diseases,12942196.385992033,12728637.399069745,13286272.06802312
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Both,Cardiovascular diseases,23116004.504010163,22522814.767934285,23824730.001038074
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Female,Cardiovascular diseases,10852953.077865725,10527384.018053327,11131864.844100865
DALYs (Disability-Adjusted Life Years),Number,Global,1992,55 to 59,Male,Cardiovascular diseases,12134269.505855564,11660794.54429132,12443184.414705886
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Both,Cardiovascular diseases,21916323.91013824,21359320.04222519,22432998.25372202
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Female,Cardiovascular diseases,10552821.801456943,10264918.810308434,10757844.744230144
DALYs (Disability-Adjusted Life Years),Number,Global,1992,60 to 64,Male,Cardiovascular diseases,11293959.30499012,11059444.52514017,11613062.191697182
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Both,Cardiovascular diseases,18644041.703306574,18225098.17382054,19076209.11709351
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Female,Cardiovascular diseases,9442699.252303185,9189183.913080048,9714685.435539471
DALYs (Disability-Adjusted Life Years),Number,Global,1992,65 to 69,Male,Cardiovascular diseases,9121434.332067786,8955011.15036453,9288392.13813665
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Both,Cardiovascular diseases,13915966.891303867,13535394.647448875,14242665.452210762
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Female,Cardiovascular diseases,7369541.02453935,7217583.178810477,7536044.707266597
DALYs (Disability-Adjusted Life Years),Number,Global,1992,70 to 74,Male,Cardiovascular diseases,6465893.9231278,6272322.172602778,6583985.471247073
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Both,Cardiovascular diseases,10074398.324178964,9737915.888263851,10381728.864329852
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Female,Cardiovascular diseases,5631844.729264032,5509185.700061804,5780401.065585776
DALYs (Disability-Adjusted Life Years),Number,Global,1992,75 to 79,Male,Cardiovascular diseases,4345606.986098847,4221760.587049668,4435374.261477162
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Both,Cardiovascular diseases,6459024.728422634,6241143.751418568,6675153.1374008395
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Female,Cardiovascular diseases,3862293.780797652,3794590.5301964693,3937909.058644519
DALYs (Disability-Adjusted Life Years),Number,Global,1992,80 to 84,Male,Cardiovascular diseases,2530469.217191969,2469830.186418444,2596036.4586400357
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Both,Cardiovascular diseases,3046082.690020847,2969666.592497306,3139302.4917873354
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Female,Cardiovascular diseases,1945001.6269952508,1885673.7786267865,1996481.0698995013
DALYs (Disability-Adjusted Life Years),Number,Global,1992,85 to 89,Male,Cardiovascular diseases,1055868.0562810672,1021613.253537386,1077060.1343452644
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Both,Cardiovascular diseases,936571.6071442225,913519.0716924812,962252.8238971741
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Female,Cardiovascular diseases,639854.0863302047,620906.9653262508,656100.2524622595
DALYs (Disability-Adjusted Life Years),Number,Global,1992,90 to 94,Male,Cardiovascular diseases,283264.3305614297,275034.5192139293,291240.5736734609
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Both,Cardiovascular diseases,28058063.415921338,27385139.02821076,28835351.429288197
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Female,Cardiovascular diseases,12415074.990994658,12044178.027525868,12752292.275647826
DALYs (Disability-Adjusted Life Years),Number,Global,1993,25 to 29,Male,Cardiovascular diseases,15688776.687160918,15049384.48126656,16169841.268523123
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Both,Cardiovascular diseases,28466968.034345496,27518555.823188275,29170696.898880996
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Female,Cardiovascular diseases,12762770.482826924,12573028.732961066,13109278.624275308
DALYs (Disability-Adjusted Life Years),Number,Global,1993,30 to 34,Male,Cardiovascular diseases,15727719.342994668,15248748.879752368,16129080.945387084
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Both,Cardiovascular diseases,29761117.279601444,28941048.8134595,30471977.054316934
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Female,Cardiovascular diseases,13382714.478307812,13114952.355018906,13725393.222845975
DALYs (Disability-Adjusted Life Years),Number,Global,1993,35 to 39,Male,Cardiovascular diseases,16316133.03053895,15816527.631441478,16817504.35668706
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Both,Cardiovascular diseases,28913954.60823774,28453764.860032428,29570086.7232501
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Female,Cardiovascular diseases,13160022.081140153,12733256.393630743,13576600.607947934
DALYs (Disability-Adjusted Life Years),Number,Global,1993,40 to 44,Male,Cardiovascular diseases,15743212.071354004,15440196.98362475,16057557.08878638
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Both,Cardiovascular diseases,25319532.59473587,24606447.64147996,25885203.507469058
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Female,Cardiovascular diseases,11671178.043436859,11357938.778193757,11889716.343881581
DALYs (Disability-Adjusted Life Years),Number,Global,1993,45 to 49,Male,Cardiovascular diseases,13716040.914824584,13290380.758066837,14073360.110676624
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Both,Cardiovascular diseases,24060733.48304099,23491694.64043442,24903198.616579738
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Female,Cardiovascular diseases,11172677.116578434,10988090.986866903,11499922.214327965
DALYs (Disability-Adjusted Life Years),Number,Global,1993,50 to 54,Male,Cardiovascular diseases,12914173.565042805,12655335.787908498,13145378.987550264
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Both,Cardiovascular diseases,23435815.28261828,22780181.72288874,24005927.95745907
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Female,Cardiovascular diseases,11092464.700463008,10804949.42923026,11389782.170505881
DALYs (Disability-Adjusted Life Years),Number,Global,1993,55 to 59,Male,Cardiovascular diseases,12416729.727163667,12065816.562148932,12764916.031193826
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Both,Cardiovascular diseases,22111902.913433596,21535509.224911213,22677447.588118874
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Female,Cardiovascular diseases,10663204.406603234,10425746.210118804,10870548.950436186
DALYs (Disability-Adjusted Life Years),Number,Global,1993,60 to 64,Male,Cardiovascular diseases,11444146.254485171,11219183.920135211,11653692.109715158
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Both,Cardiovascular diseases,19212590.3357065,18661872.03962666,19733124.054661047
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Female,Cardiovascular diseases,9657086.589820165,9358640.756802576,9903180.037161954
DALYs (Disability-Adjusted Life Years),Number,Global,1993,65 to 69,Male,Cardiovascular diseases,9418682.461533107,9206632.084014874,9643561.034040522
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Both,Cardiovascular diseases,14507088.867630277,14047072.32008671,14940401.19954189
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Female,Cardiovascular diseases,7718144.552790381,7577162.365646211,7920549.876366522
DALYs (Disability-Adjusted Life Years),Number,Global,1993,70 to 74,Male,Cardiovascular diseases,6734938.849995523,6538294.117333427,6923440.610288901
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Both,Cardiovascular diseases,10002462.025743093,9773017.232741352,10320517.634902038
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Female,Cardiovascular diseases,5593492.073593463,5457846.468507876,5767585.902485795
DALYs (Disability-Adjusted Life Years),Number,Global,1993,75 to 79,Male,Cardiovascular diseases,4343630.83464596,4230585.907726256,4465852.891883136
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Both,Cardiovascular diseases,6672885.303534984,6495233.574265673,6839904.272008279
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Female,Cardiovascular diseases,3960486.9637543857,3850033.014840665,4035371.953349027
DALYs (Disability-Adjusted Life Years),Number,Global,1993,80 to 84,Male,Cardiovascular diseases,2601323.3138567265,2504656.7678314797,2677731.942940209
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Both,Cardiovascular diseases,3152935.6927181105,3099660.4258645317,3243458.176379335
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Female,Cardiovascular diseases,2017039.379676526,1959085.4733024412,2075539.0896666828
DALYs (Disability-Adjusted Life Years),Number,Global,1993,85 to 89,Male,Cardiovascular diseases,1102824.1225009207,1063006.5512889717,1130944.4118049005
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Both,Cardiovascular diseases,993646.1358043829,967034.7891382247,1012557.9212582128
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Female,Cardiovascular diseases,679064.560301076,662522.6607423732,693062.444281009
DALYs (Disability-Adjusted Life Years),Number,Global,1993,90 to 94,Male,Cardiovascular diseases,303411.6078210834,297820.23632585886,310112.2730038919
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Both,Cardiovascular diseases,28177290.648616873,27446863.41536711,28894591.56384708
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Female,Cardiovascular diseases,12494465.728177417,12013484.874064177,12849021.325636137
DALYs (Disability-Adjusted Life Years),Number,Global,1994,25 to 29,Male,Cardiovascular diseases,15773047.752540229,15454119.94384616,16136506.749251321
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Both,Cardiovascular diseases,29517148.27006221,28736971.956160374,30165573.97231713
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Female,Cardiovascular diseases,13156285.386626784,12828993.680035938,13444014.124148719
DALYs (Disability-Adjusted Life Years),Number,Global,1994,30 to 34,Male,Cardiovascular diseases,16241469.969444511,15793273.845051855,16619578.212489929
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Both,Cardiovascular diseases,30059718.12424727,29239790.941175655,30639489.03174233
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Female,Cardiovascular diseases,13395116.784665221,13007900.488558885,13745982.75566328
DALYs (Disability-Adjusted Life Years),Number,Global,1994,35 to 39,Male,Cardiovascular diseases,16504424.775089623,16122466.544174917,17037857.201878667
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Both,Cardiovascular diseases,29692508.66281901,29059318.510735523,30283631.228914503
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Female,Cardiovascular diseases,13509995.503638308,13067219.75129161,13814304.735073317
DALYs (Disability-Adjusted Life Years),Number,Global,1994,40 to 44,Male,Cardiovascular diseases,16247151.129920593,15806588.284541134,16669201.47473998
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Both,Cardiovascular diseases,26495655.85099028,25908974.755327716,27195363.566842213
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Female,Cardiovascular diseases,12098231.112729764,11758978.951367175,12347374.476894608
DALYs (Disability-Adjusted Life Years),Number,Global,1994,45 to 49,Male,Cardiovascular diseases,14401462.987244718,13957896.332388781,14781396.324044427
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Both,Cardiovascular diseases,24178119.26000986,23411433.62392976,24679289.88883982
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Female,Cardiovascular diseases,11195444.889738292,10933329.42179257,11496255.009916162
DALYs (Disability-Adjusted Life Years),Number,Global,1994,50 to 54,Male,Cardiovascular diseases,12902952.393452918,12552211.422783572,13218988.408879772
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Both,Cardiovascular diseases,23824085.335690998,23054474.647168644,24387902.390905157
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Female,Cardiovascular diseases,11271833.437320076,11137260.013500031,11501407.195016999
DALYs (Disability-Adjusted Life Years),Number,Global,1994,55 to 59,Male,Cardiovascular diseases,12477836.626726424,12029365.220943246,12797280.161639929
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Both,Cardiovascular diseases,22236745.4728214,21603273.874373157,22689721.740644433
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Female,Cardiovascular diseases,10709576.529124087,10431490.287171373,10916483.779626671
DALYs (Disability-Adjusted Life Years),Number,Global,1994,60 to 64,Male,Cardiovascular diseases,11535407.959245272,11267977.254934426,11815039.74004079
DALYs (Disability-Adjusted Life Years),Number,Global,1994,65 to 69,Both,Cardiovascular diseases,19560636.505396616,19154240.713715065,20073355.8297261
