cause,location,sex,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
Age-related diseases,Demo region,Both,2032,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19058.85907438604,20863.883770074197,71.86,71.79,71.93,71.855442547033,71.79080968895505,71.93295574685914
Age-related diseases,Demo region,Both,2033,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19061.05836104717,20861.577144765466,71.86,71.80,71.94,71.86148622926747,71.79676114566206,71.93911624493174
Age-related diseases,Demo region,Both,2034,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19065.82840254293,20859.82211690169,71.87,71.80,71.94,71.86587382956651,71.80096442683127,71.9437279508581
Age-related diseases,Demo region,Both,2035,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19071.93189023402,20858.599631648092,71.87,71.80,71.95,71.86874499662981,71.80360337901585,71.9468781774687
Age-related diseases,Demo region,Both,2036,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19075.479143821438,20860.800661721638,71.86,71.80,71.94,71.8624817836301,71.79721958922964,71.94075055478298
Age-related diseases,Demo region,Both,2037,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20715.252085502085,22567.940827591356,72.26,72.21,72.33,72.26028584259952,72.21371869233796,72.3282430913302
Age-related diseases,Demo region,Both,2038,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20717.157149594605,22566.10245475151,72.26,72.21,72.32,72.25566106716532,72.20894750068116,72.3238090966692
Age-related diseases,Demo region,Both,2039,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20721.233091415357,22564.69702047647,72.25,72.20,72.31,72.24536613579055,72.19839981030995,72.31383556876509
Age-related diseases,Demo region,Both,2040,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20726.435035940205,22563.730622082378,72.23,72.18,72.30,72.23203337630277,72.18476225629715,72.30088699458568
Age-related diseases,Demo region,Female,2022,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19985.996503077153,21735.610745018876,74.36,74.33,74.40,74.35966675594283,74.32972920838847,74.403483414451415
Age-related diseases,Demo region,Female,2023,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19996.694848339845,21733.633215795326,74.35,74.32,74.39,74.34609063422913,74.31583291553213,74.39021939725727
Age-related diseases,Demo region,Female,2024,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20008.79966578546,21732.947317897328,74.33,74.30,74.37,74.32839150636269,74.29775049750651,74.37288071223425
Age-related diseases,Demo region,Female,2025,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20018.175990175292,21733.96114213524,74.31,74.28,74.36,74.3124160518647,74.2814602030823,74.3571888037836
Age-related diseases,Demo region,Female,2026,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20024.782565135014,21735.914730317207,74.30,74.27,74.34,74.29939938726227,74.26820962250318,74.34437332116227
Age-related diseases,Demo region,Female,2027,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19791.002632143627,21560.069030184597,74.88,74.85,74.94,74.88484136194838,74.84995181396869,74.93733336235996
Age-related diseases,Demo region,Female,2028,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19793.40857523464,21568.87472537179,74.87,74.83,74.92,74.86766728909659,74.83252085263423,74.92034099072937
Age-related diseases,Demo region,Female,2029,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19792.9638381355,21578.408010387342,74.85,74.82,74.91,74.85288667453433,74.81756953838548,74.90561591894732
Age-related diseases,Demo region,Female,2030,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19791.655779329772,21585.79618872336,74.84,74.81,74.90,74.84270403501739,74.8072903758474,74.89543073082956
Age-related diseases,Demo region,Female,2031,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19789.807553924304,21590.977342138118,74.84,74.80,74.89,74.836740512545,74.8012915358248,74.88942320803827
Age-related diseases,Demo region,Female,2032,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19589.922700970666,21429.986776311416,75.32,75.27,75.39,75.3199254606583,75.2694464065896,75.39436875354261
Age-related diseases,Demo region,Female,2033,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19587.077762288936,21431.813136135082,75.32,75.27,75.39,75.3192296050619,75.268842232293,75.39351378980507
Age-related diseases,Demo region,Female,2034,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19584.892009495175,21431.39173580866,75.32,75.27,75.40,75.32197667994807,75.27168900511656,75.39614176466448
Age-related diseases,Demo region,Female,2035,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19583.33137714368,21430.30701194564,75.33,75.28,75.40,75.32534554131242,75.27514167106878,75.39942683519294
Age-related diseases,Demo region,Female,2036,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19585.909493639705,21428.818158369668,75.33,75.28,75.40,75.32568929047783,75.27540042491049,75.39991363812439
Age-related diseases,Demo region,Female,2037,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19447.252113489834,21304.85130723721,75.67,75.60,75.76,75.6726052279383,75.60208334252945,75.75581471226708
Age-related diseases,Demo region,Female,2038,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19449.840409974746,21302.614843927928,75.68,75.60,75.76,75.67518403922347,75.60456771925635,75.7585245023557
Age-related diseases,Demo region,Female,2039,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19455.249761452924,21300.896486603113,75.67,75.60,75.76,75.67472289151286,75.60386853456467,75.75833502418938
Age-related diseases,Demo region,Female,2040,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,19462.145301780114,21299.69127544406,75.67,75.60,75.76,75.67215986191877,75.60098605122717,75.75611998504527
Age-related diseases,Demo region,Male,2022,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19054.829511586184,20852.560888819677,66.89,66.87,66.91,66.88634822261764,66.86602447102962,66.91087584303314
Age-related diseases,Demo region,Male,2023,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19051.693653060684,20852.26392076488,66.89,66.87,66.91,66.88735206304209,66.86707030442483,66.91182185357634
Age-related diseases,Demo region,Male,2024,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19049.80840057874,20850.934901586483,66.89,66.87,66.92,66.89107626254852,66.87083633409499,66.91546346082889
Age-related diseases,Demo region,Male,2025,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19048.50204259595,20849.38584639417,66.90,66.88,66.92,66.89536240275267,66.87516056599333,66.91966615508925
Age-related diseases,Demo region,Male,2026,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19050.962811771828,20847.740455602816,66.90,66.88,66.92,66.89970200218538,66.8794949149369,66.92397180512596
Age-related diseases,Demo region,Male,2027,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20586.855610077175,22383.883237098922,67.63,67.58,67.66,67.62559473796018,67.57966802954724,67.6644241152955
Age-related diseases,Demo region,Male,2028,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20584.722337322382,22384.259777720934,67.63,67.58,67.67,67.63064950232794,67.58485657330418,67.6693249834256
Age-related diseases,Demo region,Male,2029,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20583.142592654098,22383.134648802377,67.63,67.59,67.67,67.63487842107183,67.58915563907287,67.67346907892316
Age-related diseases,Demo region,Male,2030,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20582.07650647755,22381.835170230424,67.64,67.59,67.68,67.63792249958556,67.5922360601416,67.67646705215344
Age-related diseases,Demo region,Male,2031,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20584.301078938533,22380.45823832683,67.63,67.59,67.67,67.6330090199425,67.58716324540852,67.67173380365986
Age-related diseases,Demo region,Male,2032,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20358.06436112419,22179.24761781929,68.25,68.20,68.29,68.24543604486836,68.1969543728652,68.29455889077259
Age-related diseases,Demo region,Male,2033,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20359.564709081482,22177.486513116604,68.24,68.19,68.29,68.24354387927715,68.19495232679093,68.29282454154975
Age-related diseases,Demo region,Male,2034,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20362.934763120313,22176.187972318745,68.24,68.19,68.29,68.23745280076471,68.18866431052693,68.28703451407685
Age-related diseases,Demo region,Male,2035,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20367.252726002458,22175.328118144258,68.23,68.18,68.28,68.22905574483543,68.18002867276597,68.27900930138892
Age-related diseases,Demo region,Male,2036,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20369.557884430033,22177.22596092085,68.22,68.17,68.27,68.22295662816659,68.17384789941468,68.27305959834081
Age-related diseases,Demo region,Male,2037,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20172.09936460206,22010.313512537192,68.74,68.68,68.80,68.73972779961561,68.68409587806512,68.7953535981385
Age-related diseases,Demo region,Male,2038,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20178.15813423699,22011.56579475723,68.73,68.67,68.78,68.72776544728517,68.67173481004241,68.78381119561774
Age-related diseases,Demo region,Male,2039,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20184.810739926044,22014.358994296348,68.71,68.66,68.77,68.71322913768587,68.6567884981142,68.76971779465765
Age-related diseases,Demo region,Male,2040,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20193.571800591886,22017.93380009689,68.69,68.64,68.75,68.69408816654749,68.63709947912263,68.75116744190292
Age-related diseases,Global,Both,2022,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19780.711081102563,21585.89326491666,64.86,64.85,64.86,64.855630705049,64.85263964038477,64.86102699466048
Age-related diseases,Global,Both,2023,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19780.711081102563,21585.89326491666,64.86,64.85,64.86,64.855630705049,64.85263964038477,64.86102699466048
Age-related diseases,Global,Both,2024,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19780.711081102563,21585.89326491666,64.86,64.85,64.86,64.855630705049,64.85263964038477,64.86102699466048
Age-related diseases,Global,Both,2025,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19780.711081102563,21585.89326491666,64.86,64.85,64.86,64.855630705049,64.85263964038477,64.86102699466048
Age-related diseases,Global,Both,2026,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19780.711081102563,21585.89326491666,64.86,64.85,64.86,64.855630705049,64.85263964038477,64.86102699466048
Age-related diseases,Global,Both,2027,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19521.175965301583,21352.354730543033,65.52,65.52,65.53,65.52374621953473,65.51839426456041,65.5311280824402
Age-related diseases,Global,Both,2028,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19521.175965301583,21352.354730543033,65.52,65.52,65.53,65.52374621953473,65.51839426456041,65.5311280824402
Age-related diseases,Global,Both,2029,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19521.175965301583,21352.354730543033,65.52,65.52,65.53,65.52374621953473,65.51839426456041,65.5311280824402
Age-related diseases,Global,Both,2030,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19521.175965301583,21352.354730543033,65.52,65.52,65.53,65.52374621953473,65.51839426456041,65.5311280824402
Age-related diseases,Global,Both,2031,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19521.175965301583,21352.354730543033,65.52,65.52,65.53,65.52374621953473,65.51839426456041,65.5311280824402
Age-related diseases,Global,Both,2032,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19273.97845518161,21141.838556880393,66.12,66.11,66.12,66.11625945375624,66.10941601334291,66.12294440239555
Age-related diseases,Global,Both,2033,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19273.97845518161,21141.838556880393,66.12,66.11,66.12,66.11625945375624,66.10941601334291,66.12294440239555
Age-related diseases,Global,Both,2034,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19273.97845518161,21141.838556880393,66.12,66.11,66.12,66.11625945375624,66.10941601334291,66.12294440239555
Age-related diseases,Global,Both,2035,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19273.97845518161,21141.838556880393,66.12,66.11,66.12,66.11625945375624,66.10941601334291,66.12294440239555
Age-related diseases,Global,Both,2036,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19273.97845518161,21141.838556880393,66.12,66.11,66.12,66.11625945375624,66.10941601334291,66.12294440239555
Age-related diseases,Global,Both,2037,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19039.891473804648,20943.25233068554,66.65,66.65,66.66,66.65441520286076,66.6484566507546,66.66112531812037
Age-related diseases,Global,Both,2038,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19039.891473804648,20943.25233068554,66.65,66.65,66.66,66.65441520286076,66.6484566507546,66.66112531812037
Age-related diseases,Global,Both,2039,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19039.891473804648,20943.25233068554,66.65,66.65,66.66,66.65441520286076,66.6484566507546,66.66112531812037
Age-related diseases,Global,Both,2040,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,19039.891473804648,20943.25233068554,66.65,66.65,66.66,66.65441520286076,66.6484566507546,66.66112531812037
Age-related diseases,Global,Female,2022,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20260.10829236632,22042.785128630905,68.55,68.54,68.55,68.54708220799411,68.53999260757342,68.55378598570834
Age-related diseases,Global,Female,2023,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20260.10829236632,22042.785128630905,68.55,68.54,68.55,68.54708220799411,68.53999260757342,68.55378598570834
Age-related diseases,Global,Female,2024,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20260.10829236632,22042.785128630905,68.55,68.54,68.55,68.54708220799411,68.53999260757342,68.55378598570834
Age-related diseases,Global,Female,2025,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20260.10829236632,22042.785128630905,68.55,68.54,68.55,68.54708220799411,68.53999260757342,68.55378598570834
Age-related diseases,Global,Female,2026,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,20260.10829236632,22042.785128630905,68.55,68.54,68.55,68.54708220799411,68.53999260757342,68.55378598570834
Age-related diseases,Global,Female,2027,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19995.712513613234,21818.529067973068,69.24,69.23,69.25,69.23825403603844,69.22620042301043,69.24573183641735
Age-related diseases,Global,Female,2028,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19995.712513613234,21818.529067973068,69.24,69.23,69.25,69.23825403603844,69.22620042301043,69.24573183641735
Age-related diseases,Global,Female,2029,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19995.712513613234,21818.529067973068,69.24,69.23,69.25,69.23825403603844,69.22620042301043,69.24573183641735
Age-related diseases,Global,Female,2030,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19995.712513613234,21818.529067973068,69.24,69.23,69.25,69.23825403603844,69.22620042301043,69.24573183641735
Age-related diseases,Global,Female,2031,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19995.712513613234,21818.529067973068,69.24,69.23,69.25,69.23825403603844,69.22620042301043,69.24573183641735
Age-related diseases,Global,Female,2032,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19793.205017952285,21613.51702045486,69.80,69.78,69.81,69.79757754772653,69.7818715499558,69.80592166378057
Age-related diseases,Global,Female,2033,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19793.205017952285,21613.51702045486,69.80,69.78,69.81,69.79757754772653,69.7818715499558,69.80592166378057
Age-related diseases,Global,Female,2034,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19793.205017952285,21613.51702045486,69.80,69.78,69.81,69.79757754772653,69.7818715499558,69.80592166378057
Age-related diseases,Global,Female,2035,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19793.205017952285,21613.51702045486,69.80,69.78,69.81,69.79757754772653,69.7818715499558,69.80592166378057
Age-related diseases,Global,Female,2036,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19793.205017952285,21613.51702045486,69.80,69.78,69.81,69.79757754772653,69.7818715499558,69.80592166378057
Age-related diseases,Global,Female,2037,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19573.90915544433,21473.152271561332,70.26,70.24,70.27,70.25863668957315,70.24147988564238,70.26707979503456
Age-related diseases,Global,Female,2038,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19573.90915544433,21473.152271561332,70.26,70.24,70.27,70.25863668957315,70.24147988564238,70.26707979503456
Age-related diseases,Global,Female,2039,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19573.90915544433,21473.152271561332,70.26,70.24,70.27,70.25863668957315,70.24147988564238,70.26707979503456
Age-related diseases,Global,Female,2040,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19573.90915544433,21473.152271561332,70.26,70.24,70.27,70.25863668957315,70.24147988564238,70.26707979503456
Age-related diseases,Global,Male,2022,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19331.19092580366,21127.17792183264,61.12,61.11,61.13,61.121708266913316,61.11490162166348,61.127282011024334
Age-related diseases,Global,Male,2023,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19331.19092580366,21127.17792183264,61.12,61.11,61.13,61.121708266913316,61.11490162166348,61.127282011024334
Age-related diseases,Global,Male,2024,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19331.19092580366,21127.17792183264,61.12,61.11,61.13,61.121708266913316,61.11490162166348,61.127282011024334
Age-related diseases,Global,Male,2025,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19331.19092580366,21127.17792183264,61.12,61.11,61.13,61.121708266913316,61.11490162166348,61.127282011024334
Age-related diseases,Global,Male,2026,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19331.19092580366,21127.17792183264,61.12,61.11,61.13,61.121708266913316,61.11490162166348,61.127282011024334
Age-related diseases,Global,Male,2027,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19044.24071569751,20875.926066644985,61.82,61.82,61.83,61.8246744424532,61.81757590361343,61.83287536283115
Age-related diseases,Global,Male,2028,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19044.24071569751,20875.926066644985,61.82,61.82,61.83,61.8246744424532,61.81757590361343,61.83287536283115
Age-related diseases,Global,Male,2029,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19044.24071569751,20875.926066644985,61.82,61.82,61.83,61.8246744424532,61.81757590361343,61.83287536283115
Age-related diseases,Global,Male,2030,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19044.24071569751,20875.926066644985,61.82,61.82,61.83,61.8246744424532,61.81757590361343,61.83287536283115
Age-related diseases,Global,Male,2031,20811.69781556395,20343.491077959192,21279.427882736694,55 to 59,60 to 64,19044.24071569751,20875.926066644985,61.82,61.82,61.83,61.8246744424532,61.81757590361343,61.83287536283115
Age-related diseases,Global,Male,2032,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20629.601501173274,22489.60291220971,62.49,62.48,62.50,62.489505850130534,62.48294509220268,62.49664115683681
Age-related diseases,Global,Male,2033,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20629.601501173274,22489.60291220971,62.49,62.48,62.50,62.489505850130534,62.48294509220268,62.49664115683681
Age-related diseases,Global,Male,2034,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20629.601501173274,22489.60291220971,62.49,62.48,62.50,62.489505850130534,62.48294509220268,62.49664115683681
Age-related diseases,Global,Male,2035,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20629.601501173274,22489.60291220971,62.49,62.48,62.50,62.489505850130534,62.48294509220268,62.49664115683681
Age-related diseases,Global,Male,2036,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20629.601501173274,22489.60291220971,62.49,62.48,62.50,62.489505850130534,62.48294509220268,62.49664115683681
Age-related diseases,Global,Male,2037,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20394.1445371461,22290.760022618535,63.10,63.09,63.11,63.10078527149071,63.09174443396588,63.10933252681205
Age-related diseases,Global,Male,2038,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20394.1445371461,22290.760022618535,63.10,63.09,63.11,63.10078527149071,63.09174443396588,63.10933252681205
Age-related diseases,Global,Male,2039,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20394.1445371461,22290.760022618535,63.10,63.09,63.11,63.10078527149071,63.09174443396588,63.10933252681205
Age-related diseases,Global,Male,2040,20811.69781556395,20343.491077959192,21279.427882736694,60 to 64,65 to 69,20394.1445371461,22290.760022618535,63.10,63.09,63.11,63.10078527149071,63.09174443396588,63.10933252681205
Age-related diseases,Japan,Both,2022,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19406.54678955944,21190.536276492378,70.94,70.91,70.98,70.93822675608999,70.91053687153405,70.97941712601741
Age-related diseases,Japan,Both,2023,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19406.54678955944,21190.536276492378,70.94,70.91,70.98,70.93822675608999,70.91053687153405,70.97941712601741
Age-related diseases,Japan,Both,2024,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19406.54678955944,21190.536276492378,70.94,70.91,70.98,70.93822675608999,70.91053687153405,70.97941712601741
Age-related diseases,Japan,Both,2025,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19406.54678955944,21190.536276492378,70.94,70.91,70.98,70.93822675608999,70.91053687153405,70.97941712601741
Age-related diseases,Japan,Both,2026,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19406.54678955944,21190.536276492378,70.94,70.91,70.98,70.93822675608999,70.91053687153405,70.97941712601741
Age-related diseases,Japan,Both,2027,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19145.642809988087,20953.655892149873,71.61,71.56,71.66,71.60741966419793,71.56119225239334,71.66044101230561
Age-related diseases,Japan,Both,2028,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19145.642809988087,20953.655892149873,71.61,71.56,71.66,71.60741966419793,71.56119225239334,71.66044101230561
Age-related diseases,Japan,Both,2029,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19145.642809988087,20953.655892149873,71.61,71.56,71.66,71.60741966419793,71.56119225239334,71.66044101230561
Age-related diseases,Japan,Both,2030,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19145.642809988087,20953.655892149873,71.61,71.56,71.66,71.60741966419793,71.56119225239334,71.66044101230561
Age-related diseases,Japan,Both,2031,20811.69781556395,20343.491077959192,21279.427882736694,65 to 69,70 to 74,19145.642809988087,20953.655892149873,71.61,71.56,71.66,71.60741966419793,71.56119225239334,71.66044101230561
Age-related diseases,Japan,Both,2032,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20756.695240728706,22607.336642948485,72.15,72.09,72.22,72.14860408604625,72.08939104448476,72.21905662112377
Age-related diseases,Japan,Both,2033,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20756.695240728706,22607.336642948485,72.15,72.09,72.22,72.14860408604625,72.08939104448476,72.21905662112377
Age-related diseases,Japan,Both,2034,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20756.695240728706,22607.336642948485,72.15,72.09,72.22,72.14860408604625,72.08939104448476,72.21905662112377
Age-related diseases,Japan,Both,2035,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20756.695240728706,22607.336642948485,72.15,72.09,72.22,72.14860408604625,72.08939104448476,72.21905662112377
Age-related diseases,Japan,Both,2036,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20756.695240728706,22607.336642948485,72.15,72.09,72.22,72.14860408604625,72.08939104448476,72.21905662112377
Age-related diseases,Japan,Both,2037,20811.69781556395,20343.491077959192,21279.427882736694,70 to 74,75 to 79,20607.984282844773,22483.817734156713,72.54,72.50,72.61,72.54299472209728,72.49989596225231,72.60693495142021
