cause,location,sex,age,year,point_estimate,lower,upper
Age-related diseases,Demo region,Both,30 to 34,2027,7450.158378796317,7436.406590920296,7463.439622617016
Age-related diseases,Demo region,Both,35 to 39,2027,8780.910823382312,8766.33844733274,8793.771402865834
Age-related diseases,Demo region,Both,40 to 44,2027,10560.207733081228,10545.066157119,10575.091505203856
Age-related diseases,Demo region,Both,45 to 49,2027,12236.739511489546,12225.942682891873,12252.616516770939
Age-related diseases,Demo region,Both,50 to 54,2027,13879.616551109955,13867.05242567836,13891.778765235193
Age-related diseases,Demo region,Both,55 to 59,2027,15671.6743250133,15658.99878538912,15682.910777234654
Age-related diseases,Demo region,Both,60 to 64,2027,17472.39480168727,17459.845336531052,17484.322214254014
Age-related diseases,Demo region,Both,65 to 69,2027,19273.236888387717,19251.291653971733,19294.34027590726
Age-related diseases,Demo region,Both,70 to 74,2027,21066.21310270518,21045.800251140718,21083.962485626238
Age-related diseases,Demo region,Both,75 to 79,2027,22833.523838212754,22814.22917267167,22846.93754542442
Age-related diseases,Demo region,Both,80 to 84,2027,24603.731333173957,24587.194966572144,24623.873715475638
Age-related diseases,Demo region,Both,85 to 89,2027,26451.509709379498,26440.308661653708,26461.825143005295
Age-related diseases,Demo region,Both,90 to 94,2027,28194.180293319787,28176.975708540886,28217.411304672903
Age-related diseases,Demo region,Both,25 to 29,2028,6228.165992822266,6212.546093339235,6241.041970311523
Age-related diseases,Demo region,Both,30 to 34,2028,7477.823160093602,7463.877828454294,7491.209251650829
Age-related diseases,Demo region,Both,35 to 39,2028,8797.632174905542,8782.908111125258,8810.569826606072
Age-related diseases,Demo region,Both,40 to 44,2028,10562.7312502475,10547.572775744125,10577.62745920787
Age-related diseases,Demo region,Both,45 to 49,2028,12276.62909963013,12265.614482101282,12292.652470523906
Age-related diseases,Demo region,Both,50 to 54,2028,13903.197342568597,13890.470974014228,13915.463838377866
Age-related diseases,Demo region,Both,55 to 59,2028,15680.371493946379,15667.611083472377,15691.641574202486
Age-related diseases,Demo region,Both,60 to 64,2028,17474.800037749967,17462.230597387246,17486.744437710673
Age-related diseases,Demo region,Both,65 to 69,2028,19270.485329750198,19248.58209179869,19291.556055441946
Age-related diseases,Demo region,Both,70 to 74,2028,21067.618739891655,21047.189649761644,21085.384480006065
Age-related diseases,Demo region,Both,75 to 79,2028,22840.86824582624,22821.487275772866,22854.36609135457
Age-related diseases,Demo region,Both,80 to 84,2028,24602.232169264007,24585.709003111388,24622.3499785291
Age-related diseases,Demo region,Both,85 to 89,2028,26452.09997100662,26440.88664652209,26462.42476672384
Age-related diseases,Demo region,Both,90 to 94,2028,28194.310901928136,28177.098095486934,28217.54841835306
Age-related diseases,Demo region,Both,25 to 29,2029,6256.634657118562,6240.7351433932,6269.659923565071
Age-related diseases,Demo region,Both,30 to 34,2029,7512.242874096698,7498.056740952118,7525.759414149663
Age-related diseases,Demo region,Both,35 to 39,2029,8816.434482764356,8801.539853859162,8829.458798246194
Age-related diseases,Demo region,Both,40 to 44,2029,10563.573463239274,10548.409348920532,10578.473822940707
Age-related diseases,Demo region,Both,45 to 49,2029,12313.867260173529,12302.649329961805,12330.02726787972
Age-related diseases,Demo region,Both,50 to 54,2029,13928.951083132275,13916.04752089467,13941.33147009065
Age-related diseases,Demo region,Both,55 to 59,2029,15689.303230286872,15676.455659949765,15700.607845544233
Age-related diseases,Demo region,Both,60 to 64,2029,17480.119640302764,17467.506021257897,17492.101610872734
Age-related diseases,Demo region,Both,65 to 69,2029,19268.384933190187,19246.513753152438,19289.43072654365
Age-related diseases,Demo region,Both,70 to 74,2029,21066.83151804536,21046.41152226322,21084.588097374846
Age-related diseases,Demo region,Both,75 to 79,2029,22848.65404842236,22829.181587001516,22862.241088935323
Age-related diseases,Demo region,Both,80 to 84,2029,24601.46455801896,24584.948150842578,24621.569785244774
Age-related diseases,Demo region,Both,85 to 89,2029,26452.80990891013,26441.581818538805,26463.14596489441
Age-related diseases,Demo region,Both,90 to 94,2029,28194.84150791745,28177.59530043695,28218.10545162084
Age-related diseases,Demo region,Both,25 to 29,2030,6282.361226997092,6266.209031401251,6295.521402926911
Age-related diseases,Demo region,Both,30 to 34,2030,7550.190143647975,7535.7385300979495,7563.850501404653
Age-related diseases,Demo region,Both,35 to 39,2030,8835.405143244603,8820.338422003786,8848.516898480295
Age-related diseases,Demo region,Both,40 to 44,2030,10566.3081438823,10551.12571698222,10581.221981114175
Age-related diseases,Demo region,Both,45 to 49,2030,12343.238375682324,12331.860085232447,12359.506153899772
Age-related diseases,Demo region,Both,50 to 54,2030,13957.293336610588,13944.194770922024,13969.79906193715
Age-related diseases,Demo region,Both,55 to 59,2030,15701.002869402828,15688.041128773979,15712.35272189472
Age-related diseases,Demo region,Both,60 to 64,2030,17486.94767174599,17474.277346692023,17498.977866464076
Age-related diseases,Demo region,Both,65 to 69,2030,19266.896953371983,19245.04848405925,19287.925083957907
Age-related diseases,Demo region,Both,70 to 74,2030,21065.51487033103,21045.110085067234,21083.256128024575
Age-related diseases,Demo region,Both,75 to 79,2030,22854.440448901347,22834.899991190327,22868.093779035116
Age-related diseases,Demo region,Both,80 to 84,2030,24602.03328798253,24585.51187302085,24622.14783735257
Age-related diseases,Demo region,Both,85 to 89,2030,26454.298240188327,26443.03919424884,26464.65790247335
Age-related diseases,Demo region,Both,90 to 94,2030,28195.431135716197,28178.147811841118,28218.72444632901
Age-related diseases,Demo region,Both,25 to 29,2031,6303.470268968018,6287.110744053331,6316.741140181311
Age-related diseases,Demo region,Both,30 to 34,2031,7586.942159363462,7572.233427445012,7600.741804888918
Age-related diseases,Demo region,Both,35 to 39,2031,8857.874715352884,8842.60416140163,8871.090037560136
Age-related diseases,Demo region,Both,40 to 44,2031,10570.693703490706,10555.481909023614,10585.629154402879
Age-related diseases,Demo region,Both,45 to 49,2031,12360.878010423236,12349.403411202682,12377.210513198175
Age-related diseases,Demo region,Both,50 to 54,2031,13991.244181552018,13977.912023572297,14003.900048204026
Age-related diseases,Demo region,Both,55 to 59,2031,15716.376416056004,15703.264653508615,15727.785711128015
Age-related diseases,Demo region,Both,60 to 64,2031,17490.850692670378,17478.147953480377,17502.908453145992
Age-related diseases,Demo region,Both,65 to 69,2031,19269.41885024577,19247.53188974807,19290.47691650535
Age-related diseases,Demo region,Both,70 to 74,2031,21063.8833893602,21043.497451712945,21081.605661749472
Age-related diseases,Demo region,Both,75 to 79,2031,22858.213539547498,22838.628744053887,22871.910094609986
Age-related diseases,Demo region,Both,80 to 84,2031,24603.30908467257,24586.7764360564,24623.444545831204
Age-related diseases,Demo region,Both,85 to 89,2031,26456.356246252966,26445.054396169042,26466.74855040396
Age-related diseases,Demo region,Both,90 to 94,2031,28195.73589756325,28178.43338927897,28219.044387096706
Age-related diseases,Demo region,Both,25 to 29,2032,6263.324250456401,6244.597160880425,6277.8630378175485
Age-related diseases,Demo region,Both,30 to 34,2032,7556.003884897831,7538.569703812897,7571.378079890648
Age-related diseases,Demo region,Both,35 to 39,2032,8806.622783554078,8789.053684173277,8821.499974164042
Age-related diseases,Demo region,Both,40 to 44,2032,10153.715989404738,10138.641288592307,10168.418990842792
Age-related diseases,Demo region,Both,45 to 49,2032,11982.804612389893,11966.730191884088,12001.976261334523
Age-related diseases,Demo region,Both,50 to 54,2032,13689.80351353164,13673.991650262064,13704.970003755581
Age-related diseases,Demo region,Both,55 to 59,2032,15407.438131918949,15390.108166221722,15426.290962395002
Age-related diseases,Demo region,Both,60 to 64,2032,17225.65688001526,17211.58801702225,17239.088328643204
Age-related diseases,Demo region,Both,65 to 69,2032,19058.85907438604,19038.843700195655,19073.767797154705
Age-related diseases,Demo region,Both,70 to 74,2032,20863.883770074197,20835.792838141086,20887.584386880604
Age-related diseases,Demo region,Both,75 to 79,2032,22696.163606719503,22674.016644569136,22717.87472709338
Age-related diseases,Demo region,Both,80 to 84,2032,24481.70085997199,24459.204022061993,24499.17583049138
Age-related diseases,Demo region,Both,85 to 89,2032,26311.45703444333,26293.510908156804,26329.82129137521
Age-related diseases,Demo region,Both,90 to 94,2032,28139.499852822784,28122.516394049893,28160.368967273618
Age-related diseases,Demo region,Both,25 to 29,2033,6280.556461648835,6261.628476909503,6295.197934125728
Age-related diseases,Demo region,Both,30 to 34,2033,7588.7135198246315,7570.98687539925,7604.23842033423
Age-related diseases,Demo region,Both,35 to 39,2033,8834.458311247385,8816.576642883665,8849.49083060623
Age-related diseases,Demo region,Both,40 to 44,2033,10170.353798515363,10155.14098386859,10185.115399457898
Age-related diseases,Demo region,Both,45 to 49,2033,11985.493344150615,11969.392214357027,12004.682827021496
Age-related diseases,Demo region,Both,50 to 54,2033,13728.42878152212,13712.338617626334,13743.715652197301
Age-related diseases,Demo region,Both,55 to 59,2033,15429.573487846641,15412.031433302893,15448.524885484096
Age-related diseases,Demo region,Both,60 to 64,2033,17233.685785981153,17219.556863704966,17247.16267981905
Age-related diseases,Demo region,Both,65 to 69,2033,19061.05836104717,19041.01289550387,19075.99168501944
Age-related diseases,Demo region,Both,70 to 74,2033,20861.577144765466,20833.524786550235,20885.239714926236
Age-related diseases,Demo region,Both,75 to 79,2033,22697.211732186126,22675.053980554603,22718.9309138852
Age-related diseases,Demo region,Both,80 to 84,2033,24487.023064504585,24464.450725528422,24504.56873394176
Age-related diseases,Demo region,Both,85 to 89,2033,26310.191070499444,26292.27639115756,26328.53066230097
Age-related diseases,Demo region,Both,90 to 94,2033,28139.7917850674,28122.790706830085,28160.67578796574
Age-related diseases,Demo region,Both,25 to 29,2034,6303.326766668836,6284.133323010995,6318.103925238503
Age-related diseases,Demo region,Both,30 to 34,2034,7617.334589755754,7599.352038661342,7632.991358234667
Age-related diseases,Demo region,Both,35 to 39,2034,8869.022747811372,8850.752950618158,8884.248144802943
Age-related diseases,Demo region,Both,40 to 44,2034,10189.072632824314,10173.704429330142,10203.90016278476
Age-related diseases,Demo region,Both,45 to 49,2034,11986.530673123672,11970.419238725337,12005.727036431146
Age-related diseases,Demo region,Both,50 to 54,2034,13764.513099460235,13748.16294284981,13779.912431399822
Age-related diseases,Demo region,Both,55 to 59,2034,15453.765271493954,15435.99142454055,15472.824393418801
Age-related diseases,Demo region,Both,60 to 64,2034,17241.93722582473,17227.746579626964,17255.460824458725
Age-related diseases,Demo region,Both,65 to 69,2034,19065.82840254293,19045.717671745846,19080.815084162525
Age-related diseases,Demo region,Both,70 to 74,2034,20859.82211690169,20831.799108034807,20883.455738744342
Age-related diseases,Demo region,Both,75 to 79,2034,22696.522810812025,22674.372150988132,22718.236693890463
Age-related diseases,Demo region,Both,80 to 84,2034,24492.623196702523,24469.971413964096,24510.24325698345
Age-related diseases,Demo region,Both,85 to 89,2034,26309.5887894528,26291.689070962548,26327.91664684389
Age-related diseases,Demo region,Both,90 to 94,2034,28140.20998694041,28123.183668281188,28161.115317995365
Age-related diseases,Demo region,Both,25 to 29,2035,6332.55405259034,6313.019873764269,6347.505373790926
Age-related diseases,Demo region,Both,30 to 34,2035,7643.156206810892,7624.942779511454,7658.93194513313
Age-related diseases,Demo region,Both,35 to 39,2035,8907.11930331642,8888.421714642545,8922.557287989763
Age-related diseases,Demo region,Both,40 to 44,2035,10207.986771560389,10192.461557957082,10222.880918414328
Age-related diseases,Demo region,Both,45 to 49,2035,11989.404261190919,11973.264281181684,12008.619684546857
Age-related diseases,Demo region,Both,50 to 54,2035,13793.040012869635,13776.484315734095,13808.528252482554
Age-related diseases,Demo region,Both,55 to 59,2035,15480.441311652714,15462.411869505564,15499.619220082037
Age-related diseases,Demo region,Both,60 to 64,2035,17252.73118943701,17238.45980026879,17266.315884059004
Age-related diseases,Demo region,Both,65 to 69,2035,19071.93189023402,19051.737649540126,19086.98684541979
Age-related diseases,Demo region,Both,70 to 74,2035,20858.599631648092,20830.59706641421,20882.213089200053
Age-related diseases,Demo region,Both,75 to 79,2035,22695.423066805488,22673.28372782782,22717.12849155107
Age-related diseases,Demo region,Both,80 to 84,2035,24496.767898840273,24474.05731914498,24514.4430163731
Age-related diseases,Demo region,Both,85 to 89,2035,26310.060510860927,26292.149074661746,26328.397558932422
Age-related diseases,Demo region,Both,90 to 94,2035,28141.147257844183,28124.06437054054,28162.100389403906
Age-related diseases,Demo region,Both,25 to 29,2036,6369.707925094801,6349.740602013317,6384.8806427056325
Age-related diseases,Demo region,Both,30 to 34,2036,7664.335452121942,7645.932656984993,7680.208771145303
Age-related diseases,Demo region,Both,35 to 39,2036,8944.044273622982,8924.932049360365,8959.688308258923
Age-related diseases,Demo region,Both,40 to 44,2036,10230.365409394517,10214.654426171055,10245.33837534532
Age-related diseases,Demo region,Both,45 to 49,2036,11993.902319845449,11977.717657081013,12013.14757810254
Age-related diseases,Demo region,Both,50 to 54,2036,13810.29237563886,13793.61237274152,13825.834384385904
Age-related diseases,Demo region,Both,55 to 59,2036,15512.480865892681,15494.144438299989,15531.801444172195
Age-related diseases,Demo region,Both,60 to 64,2036,17266.898039833548,17252.520677213484,17280.562921655805
Age-related diseases,Demo region,Both,65 to 69,2036,19075.479143821438,19055.236368454243,19090.573778558435
Age-related diseases,Demo region,Both,70 to 74,2036,20860.800661721638,20832.76128864004,20884.45042417797
Age-related diseases,Demo region,Both,75 to 79,2036,22694.087556217575,22671.96196508479,22715.782709306288
Age-related diseases,Demo region,Both,80 to 84,2036,24499.42929461449,24476.680960222388,24517.1397655051
Age-related diseases,Demo region,Both,85 to 89,2036,26311.027300657144,26293.09184909374,26329.383184965216
Age-related diseases,Demo region,Both,90 to 94,2036,28142.377738256142,28125.22058575487,28163.39362390816
Age-related diseases,Demo region,Both,25 to 29,2037,6384.386930745696,6362.691475073005,6400.508269897064
Age-related diseases,Demo region,Both,30 to 34,2037,7647.33906381961,7627.445056338238,7664.05005260794
Age-related diseases,Demo region,Both,35 to 39,2037,8941.584444001932,8920.861089924705,8958.276177256315
Age-related diseases,Demo region,Both,40 to 44,2037,10212.453730796877,10195.257811924308,10228.356615611237
Age-related diseases,Demo region,Both,45 to 49,2037,11577.17747403867,11558.154181988919,11595.072721066075
Age-related diseases,Demo region,Both,50 to 54,2037,13448.835054239096,13429.292901007908,13466.022509718103
Age-related diseases,Demo region,Both,55 to 59,2037,15239.57745027668,15220.0306102039,15259.176961471983
Age-related diseases,Demo region,Both,60 to 64,2037,16997.606230467853,16979.267394771345,17017.8777014099
Age-related diseases,Demo region,Both,65 to 69,2037,18863.894322022035,18842.99445777825,18882.086275052974
Age-related diseases,Demo region,Both,70 to 74,2037,20715.252085502085,20690.36906927966,20731.99484169395
Age-related diseases,Demo region,Both,75 to 79,2037,22567.940827591356,22538.522914538276,22596.665006902615
Age-related diseases,Demo region,Both,80 to 84,2037,24418.26821874356,24395.59205686472,24443.598129875798
Age-related diseases,Demo region,Both,85 to 89,2037,26278.482891291354,26261.008255558405,26294.62927820524
Age-related diseases,Demo region,Both,90 to 94,2037,28092.132333536305,28065.98004585689,28120.451061229796
Age-related diseases,Demo region,Both,25 to 29,2038,6424.276325937282,6402.079366281045,6440.648919945061
Age-related diseases,Demo region,Both,30 to 34,2038,7664.8154320518825,7644.74825298121,7681.614054403408
Age-related diseases,Demo region,Both,35 to 39,2038,8974.47590875277,8953.3479391124,8991.367073447382
Age-related diseases,Demo region,Both,40 to 44,2038,10240.256367473712,10222.798533703044,10256.267515046491
Age-related diseases,Demo region,Both,45 to 49,2038,11593.740871190774,11574.559002598546,11611.70757410664
Age-related diseases,Demo region,Both,50 to 54,2038,13451.675444783135,13432.105223792274,13468.880580845671
Age-related diseases,Demo region,Both,55 to 59,2038,15276.192056011838,15256.29872123746,15295.921458349641
Age-related diseases,Demo region,Both,60 to 64,2038,17018.004107691795,16999.543885769446,17038.37499478369
Age-related diseases,Demo region,Both,65 to 69,2038,18871.0536771173,18850.063147888006,18889.314827457805
Age-related diseases,Demo region,Both,70 to 74,2038,20717.157149594605,20692.247320650742,20733.932903060682
Age-related diseases,Demo region,Both,75 to 79,2038,22566.10245475151,22536.705925148235,22594.804946271466
Age-related diseases,Demo region,Both,80 to 84,2038,24418.917749657656,24396.23146374164,24444.259311326117
Age-related diseases,Demo region,Both,85 to 89,2038,26281.8345628112,26264.284824469763,26298.040363864457
Age-related diseases,Demo region,Both,90 to 94,2038,28091.101532438228,28065.01276355442,28119.37020285994
Age-related diseases,Demo region,Both,25 to 29,2039,6456.982606156176,6434.374451250223,6473.561210099691
Age-related diseases,Demo region,Both,30 to 34,2039,7687.92837194743,7667.632169061174,7704.842891907201
Age-related diseases,Demo region,Both,35 to 39,2039,9003.273427078899,8981.79120370788,9020.339200310964
Age-related diseases,Demo region,Both,40 to 44,2039,10274.725541089807,10256.942990271617,10290.87091074589
Age-related diseases,Demo region,Both,45 to 49,2039,11612.363636289634,11593.003474942985,11630.410679380497
Age-related diseases,Demo region,Both,50 to 54,2039,13452.907115864175,13433.324723924516,13470.119918711647
Age-related diseases,Demo region,Both,55 to 59,2039,15310.412108362247,15290.1949392439,15330.262907110222
Age-related diseases,Demo region,Both,60 to 64,2039,17040.312160150694,17021.71918469404,17060.79177329589
Age-related diseases,Demo region,Both,65 to 69,2039,18878.41856105041,18857.33476404962,18896.75089519821
Age-related diseases,Demo region,Both,70 to 74,2039,20721.233091415357,20696.265895848977,20738.079443540264
Age-related diseases,Demo region,Both,75 to 79,2039,22564.69702047647,22535.316838500075,22593.382931700744
Age-related diseases,Demo region,Both,80 to 84,2039,24418.291880027282,24395.615349347343,24443.622215568335
Age-related diseases,Demo region,Both,85 to 89,2039,26285.303316522026,26267.675852051885,26301.570607197755
Age-related diseases,Demo region,Both,90 to 94,2039,28090.648854872772,28064.58798034589,28118.89554258223
Age-related diseases,Demo region,Both,25 to 29,2040,6480.422853411765,6457.519999192431,6497.149102510842
Age-related diseases,Demo region,Both,30 to 34,2040,7717.586457228192,7696.9963753337,7734.649694796572
Age-related diseases,Demo region,Both,35 to 39,2040,9029.243412981998,9007.441718874406,9046.4666505207
Age-related diseases,Demo region,Both,40 to 44,2040,10312.709886326456,10294.569503766348,10329.00316605452
Age-related diseases,Demo region,Both,45 to 49,2040,11631.190923888462,11611.650511706537,11649.31918948159
Age-related diseases,Demo region,Both,50 to 54,2040,13455.916193508949,13436.304066901868,13473.147726966818
Age-related diseases,Demo region,Both,55 to 59,2040,15337.523025522745,15317.049297881835,15357.470000862915
Age-related diseases,Demo region,Both,60 to 64,2040,17064.98181844253,17046.242035713723,17085.5816677485
Age-related diseases,Demo region,Both,65 to 69,2040,18888.04591139901,18866.840195095683,18906.47129676909
Age-related diseases,Demo region,Both,70 to 74,2040,20726.435035940205,20701.394625887202,20743.37149001527
Age-related diseases,Demo region,Both,75 to 79,2040,22563.730622082378,22534.361680987644,22592.40513243832
Age-related diseases,Demo region,Both,80 to 84,2040,24417.374968604723,24394.712729539136,24442.68885764646
Age-related diseases,Demo region,Both,85 to 89,2040,26287.829676878548,26270.14560296692,26304.141751634525
Age-related diseases,Demo region,Both,90 to 94,2040,28091.015034048865,28064.931595265614,28119.279503977003
Age-related diseases,Demo region,Female,25 to 29,2022,4893.18537805087,4881.824493439699,4904.109918340965
Age-related diseases,Demo region,Female,30 to 34,2022,6211.217509889612,6196.003969710897,6224.853743543429
Age-related diseases,Demo region,Female,35 to 39,2022,7917.643795904167,7906.073861304794,7927.967157356848
Age-related diseases,Demo region,Female,40 to 44,2022,9524.195354513216,9511.335307824147,9535.545978472655
Age-related diseases,Demo region,Female,45 to 49,2022,11135.10901016292,11126.048833504476,11143.004103497346
Age-related diseases,Demo region,Female,50 to 54,2022,12872.839087633265,12863.468477699782,12890.665882369027
Age-related diseases,Demo region,Female,55 to 59,2022,14674.368020519963,14662.403399865241,14690.18855510361
Age-related diseases,Demo region,Female,60 to 64,2022,16452.364876076073,16433.928817929507,16466.93900004098
Age-related diseases,Demo region,Female,65 to 69,2022,18246.14704486433,18234.878980060446,18254.49293575585
Age-related diseases,Demo region,Female,70 to 74,2022,19985.996503077153,19977.529237100916,19993.074971591715
Age-related diseases,Demo region,Female,75 to 79,2022,21735.610745018876,21712.86174126432,21749.980540326243
Age-related diseases,Demo region,Female,80 to 84,2022,23530.66447809091,23520.610833220006,23542.02621708314
Age-related diseases,Demo region,Female,85 to 89,2022,25313.48384490019,25299.204328833934,25332.696894005414
Age-related diseases,Demo region,Female,90 to 94,2022,27084.613447773994,27056.561757592954,27109.16542950254
Age-related diseases,Demo region,Female,25 to 29,2023,4916.903597860894,4905.415549268371,4927.915434836672
Age-related diseases,Demo region,Female,30 to 34,2023,6225.136758655312,6209.839700439531,6238.866421928511
Age-related diseases,Demo region,Female,35 to 39,2023,7923.709281060882,7912.088629927014,7934.062645867208
Age-related diseases,Demo region,Female,40 to 44,2023,9571.338330427132,9558.204257768324,9583.008982614465
