analysis_level,location,sex,category,year,benchmark_rate,benchmark_lower,benchmark_upper,prev_group,next_group,prev_rate,next_rate,equivalent_age,lower_bound,upper_bound,equivalent_age_numeric,lower_bound_numeric,upper_bound_numeric
system,Global,Both,Cardiovascular diseases,2008,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12626.69712385732,13760.426962182635,62.83,61.53,64.18,62.83324891001109,61.53382914296079,64.17786480266876
system,Global,Both,Cardiovascular diseases,2009,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12654.112798617509,13687.43503508746,62.78,61.36,64.26,62.78155753329147,61.355873549709166,64.25682933601607
system,Global,Both,Cardiovascular diseases,2010,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12688.32602766628,13620.441322976523,62.68,61.10,64.32,62.682892595142924,61.102411114121495,64.31834602699016
system,Global,Both,Cardiovascular diseases,2011,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12606.08360994414,13642.024116006394,63.01,61.59,64.48,63.011396615410035,61.5893159517101,64.48293976839186
system,Global,Both,Cardiovascular diseases,2012,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12604.229251884912,13592.805547307587,63.07,61.58,64.61,63.06923311512515,61.57901837981756,64.6112801636442
system,Global,Both,Cardiovascular diseases,2013,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12504.13009270458,13591.54106427366,63.43,62.08,64.83,63.4323143213719,62.07754505663944,64.83420486547111
system,Global,Both,Cardiovascular diseases,2014,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12507.66990070468,13599.443799679768,63.41,62.06,64.81,63.41037926372882,62.06102390379795,64.80666759780927
system,Global,Both,Cardiovascular diseases,2015,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12394.970404586358,13511.41743407774,63.88,62.56,65.25,63.88393420630501,62.56439917822061,65.249365004474555
system,Global,Both,Cardiovascular diseases,2016,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12422.735536117496,13491.983506856324,63.84,62.46,65.26,63.837260527483934,62.45947819566739,65.26296457398223
system,Global,Both,Cardiovascular diseases,2017,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12376.901177898466,13451.21517452139,64.04,62.67,65.46,64.04191594703373,62.670630673784395,65.46089695573737
system,Global,Both,Cardiovascular diseases,2018,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12284.392587647731,13391.984733497462,64.40,63.07,65.77,64.39817684066526,63.06809250598046,65.77452386904086
system,Global,Both,Cardiovascular diseases,2019,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12372.553190754446,13335.233866174716,64.30,62.77,65.88,64.30128107285299,62.770980319935596,65.88480840181586
system,Global,Both,Cardiovascular diseases,2020,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12306.94897118869,13325.054765458002,64.50,63.05,66.00,64.49818823317882,63.0511962106337,65.9955092062772
system,Global,Both,Cardiovascular diseases,2021,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12257.346291599612,13373.919616927678,65.00,65.00,65.00,65,65,65
system,Global,Both,Diabetes and kidney diseases,1990,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7819.111834893326,8538.602430165987,58.37,57.16,60.14,58.372099497321514,57.161231057956996,60.14484654272209
system,Global,Both,Diabetes and kidney diseases,1991,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7769.472124295614,8550.082363218095,58.58,57.47,60.22,58.58262238373281,57.466561626654055,60.2165681909563
system,Global,Both,Diabetes and kidney diseases,1992,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7794.713766644241,8523.679621617255,58.52,57.33,60.27,58.52161177067431,57.32648246757752,60.27131625719012
system,Global,Both,Diabetes and kidney diseases,1993,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7702.659027653481,8460.869394721663,59.07,57.92,60.75,59.0699752845232,57.92094265179357,60.75219288845161
system,Global,Both,Diabetes and kidney diseases,1994,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7744.132148959055,8438.573903705907,58.96,57.71,60.80,58.96144760084173,57.706902567683635,60.79813846547453
system,Global,Both,Diabetes and kidney diseases,1995,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7659.620401758551,8468.062033316772,59.21,58.13,60.79,59.20754322898391,58.129903953336935,60.785238856192905
system,Global,Both,Diabetes and kidney diseases,1996,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7659.086258878765,8374.665664188975,59.50,58.28,61.28,59.49775294105782,58.28026617750629,61.28018940792369
system,Global,Both,Diabetes and kidney diseases,1997,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7627.521038707888,8326.479287967297,59.78,58.54,61.61,59.78295115207439,58.53651267716067,61.607773776765576
system,Global,Both,Diabetes and kidney diseases,1998,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7547.615914154554,8339.942193924091,59.96,58.86,61.57,59.959250939495575,58.85969324908467,61.569035771237004
system,Global,Both,Diabetes and kidney diseases,1999,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7541.100473315892,8271.143160991958,60.26,59.06,62.00,60.25634313187339,59.062976676812305,62.00346675696347
system,Global,Both,Diabetes and kidney diseases,2000,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7525.516971396,8291.446458894698,60.21,59.07,61.87,60.205500038398746,59.06804748114002,61.870764070899234
system,Global,Both,Diabetes and kidney diseases,2001,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7497.58739412827,8232.493875762571,60.53,59.35,62.27,60.53083685172569,59.345368392803074,62.26639757793766
system,Global,Both,Diabetes and kidney diseases,2002,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7461.579557815989,8253.456951575236,60.50,59.40,62.11,60.504171341872535,59.40399035286942,62.114868701104
system,Global,Both,Diabetes and kidney diseases,2003,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7429.569215496852,8177.658966824989,60.92,59.76,62.63,60.923226826557865,59.75864937754384,62.628202499194295
system,Global,Both,Diabetes and kidney diseases,2004,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7424.894808109864,8139.739681963896,61.14,59.92,62.92,61.13837732663458,59.91963954715216,62.92264531765547
system,Global,Both,Diabetes and kidney diseases,2005,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7410.696083997583,8114.419140374907,61.30,60.07,63.12,61.30466418732149,60.06666516719542,63.11713120173067
system,Global,Both,Diabetes and kidney diseases,2006,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7324.340061791237,8054.749845881755,61.74,60.55,63.48,61.738533936701344,60.545767255296525,63.48477947550021
system,Global,Both,Diabetes and kidney diseases,2007,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7336.947868145092,8028.841631564192,61.91,60.65,63.75,61.91120558891939,60.652040525875535,63.75466031332701
system,Global,Both,Diabetes and kidney diseases,2008,8016.5543717135615,7842.31268086651,8271.649337106184,55 to 59,60 to 64,7270.008521269312,8025.452159356371,61.94,60.79,63.63,61.941108858462684,60.78786802048126,63.62948739877693
system,Global,Both,Diabetes and kidney diseases,2009,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7991.948192690276,8692.141388822669,62.18,60.93,64.00,62.17570992662597,60.931469823969316,63.99731406960874
system,Global,Both,Diabetes and kidney diseases,2010,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7976.943724394704,8694.652851601939,62.28,61.06,64.05,62.27595195474935,61.0620779475658,64.05309923992638
system,Global,Both,Diabetes and kidney diseases,2011,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7943.588156540397,8683.511816894235,62.49,61.32,64.22,62.49306583288789,61.315635645267406,64.2168582932522
system,Global,Both,Diabetes and kidney diseases,2012,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7928.469666125309,8652.633144753469,62.61,61.41,64.37,62.60818246285437,61.40512751746323,64.36949032303443
system,Global,Both,Diabetes and kidney diseases,2013,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7892.183233616768,8631.903957190081,62.84,61.66,64.56,62.840662794304336,61.6629095876255,64.56492816408034
system,Global,Both,Diabetes and kidney diseases,2014,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7847.52427618552,8588.898054018538,63.14,61.96,64.86,63.13997891874531,61.96485176927728,64.86039966344879
system,Global,Both,Diabetes and kidney diseases,2015,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7812.030029025186,8562.420796600944,63.36,62.20,65.06,63.362785574702094,62.201779213909816,65.06253306904256
system,Global,Both,Diabetes and kidney diseases,2016,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7790.461767560895,8509.11630073535,63.57,62.36,65.35,63.57302705066067,62.36074992163883,65.34783645919394
system,Global,Both,Diabetes and kidney diseases,2017,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7764.584583452563,8478.288965733405,63.77,62.54,65.55,63.76522517247098,62.54453986372863,65.5523444036672
system,Global,Both,Diabetes and kidney diseases,2018,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7756.336736905675,8522.808083611368,63.70,62.56,65.36,63.697503996243995,62.560855564466706,65.36159076536475
system,Global,Both,Diabetes and kidney diseases,2019,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7692.786683249413,8443.057958029452,64.16,63.00,65.86,64.15767082752214,62.99647955775019,65.85768903405291
system,Global,Both,Diabetes and kidney diseases,2020,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7635.334160467671,8469.737085356686,64.28,63.24,65.81,64.28438923135724,63.2402792117871,65.81299704050744
system,Global,Both,Diabetes and kidney diseases,2021,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7632.881089228209,8400.227654198914,65.00,65.00,65.00,65,65,65
system,Global,Female,Cardiovascular diseases,1990,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12693.499647193545,13564.914443898982,62.70,61.01,64.45,62.70077595383881,61.01020222478996,64.45015083748304
system,Global,Female,Cardiovascular diseases,1991,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12571.79469103541,13566.197745305832,63.23,61.74,64.76,63.22605347087925,61.74457072996439,64.75906481074374
system,Global,Female,Cardiovascular diseases,1992,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12510.546843914204,13628.636337023408,63.36,62.05,64.73,63.36431883239083,62.0467221896409,64.72774382474387
system,Global,Female,Cardiovascular diseases,1993,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12432.255362720858,13463.79896948263,63.86,62.43,65.34,63.85827137616745,62.43012916990696,65.33608690291763
system,Global,Female,Cardiovascular diseases,1994,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12397.586955404398,13401.4350341889,64.08,62.61,65.60,64.0822174574734,62.614673718984164,65.60080497167006
system,Global,Female,Cardiovascular diseases,1995,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12343.90379823127,13408.431837978336,64.22,62.83,65.65,64.21567276022367,62.83178158271679,65.64769812890691
system,Global,Female,Cardiovascular diseases,1996,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12278.589508221785,13467.040204654484,64.26,63.02,65.54,64.25942669583968,63.019837231306866,65.54213128187612
system,Global,Female,Cardiovascular diseases,1997,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12312.873036738973,13403.79053005085,64.30,62.95,65.70,64.30429854048064,62.95388389276769,65.70168300625217
system,Global,Female,Cardiovascular diseases,1998,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12345.80505651948,13336.402294253352,64.37,62.88,65.91,64.37143755225364,62.88426304146579,65.91033863184859
system,Global,Female,Cardiovascular diseases,1999,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12248.261016707756,13264.369454560818,64.79,63.34,66.29,64.79188675351762,63.34205039006081,66.29215099875252
system,Global,Female,Cardiovascular diseases,2000,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12264.025665598754,13264.203933101502,64.76,63.28,66.28,64.75754486268806,63.28461647553871,66.28170431318148
system,Global,Female,Cardiovascular diseases,2001,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12246.320411901585,13298.186523964316,64.71,63.31,66.16,64.70620250920351,63.30565262408011,66.15546600491875
system,Global,Female,Cardiovascular diseases,2002,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12254.17955253976,13273.11156904474,64.76,63.31,66.25,64.75510727226786,63.30928857332481,66.25121411148699
system,Global,Female,Cardiovascular diseases,2003,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12202.435927130777,13190.246165558005,65.10,63.61,66.65,65.10381996095317,63.612449548797656,66.64706288281194
system,Global,Female,Cardiovascular diseases,2004,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12105.7085904719,13147.33763967114,65.41,63.99,66.87,65.4077600098495,63.99344561112264,66.87126677337952
system,Global,Female,Cardiovascular diseases,2005,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12051.115566619334,13123.784427400344,65.56,64.19,66.98,65.56362254744519,64.19023415492485,66.98477982564053
system,Global,Female,Cardiovascular diseases,2006,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12104.036350404933,13110.025038973305,65.54,64.07,67.05,65.53680221231608,64.07238121121003,67.05215837478134
system,Global,Female,Cardiovascular diseases,2007,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12098.904564274677,13109.299174300992,65.55,64.09,67.06,65.54677461101214,64.08873935647303,67.05552291931193
system,Global,Female,Cardiovascular diseases,2008,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11980.46633358206,13010.805034982084,66.05,64.62,67.53,66.0528741643246,64.62306185074958,67.53241788768571
system,Global,Female,Cardiovascular diseases,2009,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11889.64239426633,13066.342608640683,65.93,64.68,67.23,65.93469189809598,64.68272394192633,67.2302055216768
system,Global,Female,Cardiovascular diseases,2010,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,12016.261322608372,12987.914154336482,66.11,64.60,67.68,66.11346319154738,64.59729310043105,67.68236836921376
system,Global,Female,Cardiovascular diseases,2011,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11911.151377406346,12942.674936857811,66.38,64.96,67.86,66.38420222480559,64.956032263086,67.862046472399
system,Global,Female,Cardiovascular diseases,2012,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11873.790319462994,12900.611075680155,66.59,65.15,68.07,66.58620761753214,65.15149668722144,68.07082034021266
system,Global,Female,Cardiovascular diseases,2013,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11849.942670715924,12857.539930609635,66.79,65.33,68.30,66.7920450064026,65.32996186956471,68.3049819895314
system,Global,Female,Cardiovascular diseases,2014,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11843.97199196444,12925.800695279637,66.49,65.13,67.90,66.4908263171499,65.12906640275665,67.89995065811155
system,Global,Female,Cardiovascular diseases,2015,12815.632954263645,12520.994761780714,13120.519185982132,60 to 64,65 to 69,11806.4727148168,12821.85070373083,66.97,65.52,68.47,66.96938209447579,65.51850273870971,68.47072560914351
system,Global,Female,Cardiovascular diseases,2016,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12744.33826793631,13839.50886501108,67.33,65.98,68.72,67.32549580183108,65.98032550019079,68.71745351386629
system,Global,Female,Cardiovascular diseases,2017,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12753.067826948383,13768.815716133498,67.31,65.86,68.81,67.30797566985571,65.85762467420015,68.80877244711056
system,Global,Female,Cardiovascular diseases,2018,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12744.44096353762,13795.389932343029,67.34,65.94,68.79,67.33870336638203,65.93693124790401,68.7892316068971
system,Global,Female,Cardiovascular diseases,2019,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12702.759720748796,13801.565243439902,67.51,66.17,68.90,67.51361788407473,66.172897499992,68.90097090252237
system,Global,Female,Cardiovascular diseases,2020,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12681.046892496926,13705.476292021927,67.66,66.22,69.14,67.65688305035526,66.21882303070166,69.14496134964975
system,Global,Female,Cardiovascular diseases,2021,12815.632954263645,12520.994761780714,13120.519185982132,65 to 69,70 to 74,12682.90291714067,13682.20754444156,67.66,66.19,69.19,67.66411199096254,66.1898958989249,69.18960393500558
system,Global,Female,Diabetes and kidney diseases,1990,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7930.767026196017,8712.753719451672,62.55,61.43,64.18,62.54852177317996,61.43442550818069,64.17959150616085
system,Global,Female,Diabetes and kidney diseases,1991,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7862.704617751115,8652.322772739255,62.97,61.87,64.59,62.97420349944181,61.87087469585276,64.58950935190448
system,Global,Female,Diabetes and kidney diseases,1992,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7924.788485369278,8596.368979337318,62.68,61.39,64.58,62.68320839548275,61.385957415056396,64.5824220242571
system,Global,Female,Diabetes and kidney diseases,1993,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7851.703637588577,8603.420589400537,63.10,61.94,64.79,63.09649472269864,61.937536617343596,64.79324351077462
system,Global,Female,Diabetes and kidney diseases,1994,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7792.5637391151795,8565.316046828064,63.45,62.32,65.10,63.44930419723577,62.32189448840711,65.0998652039549
system,Global,Female,Diabetes and kidney diseases,1995,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7772.783006477272,8472.928507988247,63.74,62.50,65.56,63.74086218300489,62.49653732145095,65.56259041550875
system,Global,Female,Diabetes and kidney diseases,1996,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7735.985348514168,8453.740637874193,63.95,62.74,65.73,63.95448941553296,62.74069347818493,65.73152240417227
system,Global,Female,Diabetes and kidney diseases,1997,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7697.41105466337,8428.38597658395,64.18,62.99,65.93,64.18299771633524,62.99115319731094,65.9278931822589
system,Global,Female,Diabetes and kidney diseases,1998,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7684.028187837341,8403.70976718663,64.31,63.10,66.08,64.31023131213723,63.099684204591455,66.08250791829457
system,Global,Female,Diabetes and kidney diseases,1999,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7645.82018516358,8404.21385230564,64.44,63.30,66.13,64.44420676630291,63.295451849191956,66.12601778638913
system,Global,Female,Diabetes and kidney diseases,2000,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7663.033576742675,8364.335655504341,64.52,63.28,66.34,64.52046019594809,63.27818745696861,66.33918406058471
system,Global,Female,Diabetes and kidney diseases,2001,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7596.986608240387,8339.627874870956,64.82,63.65,66.54,64.82483469695127,63.651713173300955,66.54231914640836
system,Global,Female,Diabetes and kidney diseases,2002,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7590.044509178299,8329.375999293892,64.88,63.71,66.61,64.88442916497834,63.70605591037904,66.60960230316523
system,Global,Female,Diabetes and kidney diseases,2003,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7536.302908477324,8271.049430088042,65.27,64.08,67.00,65.26814383675764,64.08241729214552,67.00408240801758
system,Global,Female,Diabetes and kidney diseases,2004,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7492.307514328537,8269.981071334103,65.37,64.25,67.01,65.37061002436317,64.25033475412016,67.01072600294206
system,Global,Female,Diabetes and kidney diseases,2005,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7477.9313171457725,8246.682919858265,65.50,64.37,67.16,65.50323207566196,64.36995514828874,67.16238286307194
system,Global,Female,Diabetes and kidney diseases,2006,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7457.63141946617,8195.469162421727,65.79,64.61,67.52,65.78757360668834,64.60681474398031,67.51623934538306
system,Global,Female,Diabetes and kidney diseases,2007,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7404.175152530991,8138.129909447341,66.17,64.98,67.91,66.17177771117277,64.98477204627925,67.9095889521843
system,Global,Female,Diabetes and kidney diseases,2008,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7381.0329751313075,8161.359935471117,66.07,64.96,67.71,66.07214814355193,64.95568222796204,67.7066871147643
system,Global,Female,Diabetes and kidney diseases,2009,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7338.372152240688,8120.65906424396,66.33,65.22,67.97,66.33461310081356,65.22094439324913,67.96505687712178
system,Global,Female,Diabetes and kidney diseases,2010,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7296.47623076096,8039.965774508468,66.84,65.67,68.56,66.84255728280385,65.67077422067229,68.55808218519074
system,Global,Female,Diabetes and kidney diseases,2011,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,8010.905910450409,8802.167957785952,67.04,65.93,68.65,67.0356927346773,65.93465616004451,68.64764269646061
system,Global,Female,Diabetes and kidney diseases,2012,8016.5543717135615,7842.31268086651,8271.649337106184,60 to 64,65 to 69,7237.560809775481,8026.247349525325,66.94,65.83,68.56,66.93854987169657,65.83391778996788,68.55576376172652
system,Global,Female,Diabetes and kidney diseases,2013,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,7949.759301565594,8769.790194414289,67.41,66.34,68.96,67.4072716694607,66.34486236045433,68.96267017710991
system,Global,Female,Diabetes and kidney diseases,2014,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,7913.356253275321,8695.59624669361,67.66,66.55,69.29,67.65963207779289,66.54589657262115,69.29017364776485
system,Global,Female,Diabetes and kidney diseases,2015,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,7967.117523387763,8682.337504420064,67.35,66.13,69.13,67.34560589494748,66.12750729963446,69.12893810152563
system,Global,Female,Diabetes and kidney diseases,2016,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,7855.025796447091,8606.337868721572,68.07,66.92,69.77,68.07497657250114,66.9153939085386,69.77263973276663
system,Global,Female,Diabetes and kidney diseases,2017,8016.5543717135615,7842.31268086651,8271.649337106184,65 to 69,70 to 74,7834.095036157221,8602.612423560786,68.19,67.05,69.85,68.1870865809086,67.05346427318354,69.84674301532226
