"measure","location","sex","age","year","cause","metric","val","lower","upper"
"Incidence","Global","Both","30 to 34",2021,"Chronic kidney disease due to hypertension","Rate",16.9,16.562,17.238
"Incidence","Global","Both","35 to 39",2021,"Chronic kidney disease due to hypertension","Rate",23.4,22.932,23.868
"Incidence","Global","Both","40 to 44",2021,"Chronic kidney disease due to hypertension","Rate",32.4,31.752,33.048
"Incidence","Global","Both","45 to 49",2021,"Chronic kidney disease due to hypertension","Rate",43.9,43.022,44.778
"Incidence","Global","Both","50 to 54",2021,"Chronic kidney disease due to hypertension","Rate",57.9,56.742,59.058
"Incidence","Global","Both","55 to 59",2021,"Chronic kidney disease due to hypertension","Rate",74.4,72.912,75.888
"Incidence","Global","Both","60 to 64",2021,"Chronic kidney disease due to hypertension","Rate",93.4,91.532,95.268
"Incidence","Global","Both","65 to 69",2021,"Chronic kidney disease due to hypertension","Rate",114.9,112.602,117.198
"Incidence","Global","Both","70 to 74",2021,"Chronic kidney disease due to hypertension","Rate",138.9,136.122,141.678
"Incidence","Global","Both","75 to 79",2021,"Chronic kidney disease due to hypertension","Rate",165.4,162.092,168.708
"Incidence","Global","Both","80 to 84",2021,"Chronic kidney disease due to hypertension","Rate",194.4,190.512,198.288
"Incidence","Global","Both","25 to 29",2021,"Chronic kidney disease due to other and unspecified causes","Rate",12.9,12.642,13.158
"Incidence","Global","Both","30 to 34",2021,"Chronic kidney disease due to other and unspecified causes","Rate",16.9,16.562,17.238
"Incidence","Global","Both","35 to 39",2021,"Chronic kidney disease due to other and unspecified causes","Rate",23.4,22.932,23.868
"Incidence","Global","Both","40 to 44",2021,"Chronic kidney disease due to other and unspecified causes","Rate",32.4,31.752,33.048
"Incidence","Global","Both","45 to 49",2021,"Chronic kidney disease due to other and unspecified causes","Rate",43.9,43.022,44.778
"Incidence","Global","Both","50 to 54",2021,"Chronic kidney disease due to other and unspecified causes","Rate",57.9,56.742,59.058
"Incidence","Global","Both","55 to 59",2021,"Chronic kidney disease due to other and unspecified causes","Rate",74.4,72.912,75.888
"Incidence","Global","Both","60 to 64",2021,"Chronic kidney disease due to other and unspecified causes","Rate",93.4,91.532,95.268
"Incidence","Global","Both","65 to 69",2021,"Chronic kidney disease due to other and unspecified causes","Rate",114.9,112.602,117.198
"Incidence","Global","Both","70 to 74",2021,"Chronic kidney disease due to other and unspecified causes","Rate",138.9,136.122,141.678
"Incidence","Global","Both","75 to 79",2021,"Chronic kidney disease due to other and unspecified causes","Rate",165.4,162.092,168.708
"Incidence","Global","Both","80 to 84",2021,"Chronic kidney disease due to other and unspecified causes","Rate",194.4,190.512,198.288
"Incidence","Global","Both","25 to 29",2021,"Diabetes mellitus type 2","Rate",64.6,63.308,65.892
"Incidence","Global","Both","30 to 34",2021,"Diabetes mellitus type 2","Rate",63.6,62.328,64.872
"Incidence","Global","Both","35 to 39",2021,"Diabetes mellitus type 2","Rate",62.6,61.348,63.852
"Incidence","Global","Both","40 to 44",2021,"Diabetes mellitus type 2","Rate",61.6,60.368,62.832
"Incidence","Global","Both","45 to 49",2021,"Diabetes mellitus type 2","Rate",60.6,59.388,61.812
"Incidence","Global","Both","50 to 54",2021,"Diabetes mellitus type 2","Rate",59.6,58.408,60.792
"Incidence","Global","Both","55 to 59",2021,"Diabetes mellitus type 2","Rate",58.6,57.428,59.772
"Incidence","Global","Both","60 to 64",2021,"Diabetes mellitus type 2","Rate",57.6,56.448,58.752
"Incidence","Global","Both","65 to 69",2021,"Diabetes mellitus type 2","Rate",56.6,55.468,57.732
"Incidence","Global","Both","70 to 74",2021,"Diabetes mellitus type 2","Rate",55.6,54.488,56.712
"Incidence","Global","Both","75 to 79",2021,"Diabetes mellitus type 2","Rate",54.6,53.508,55.692
"Incidence","Global","Both","80 to 84",2021,"Diabetes mellitus type 2","Rate",53.6,52.528,54.672
